,Topic,Persian,URL
452,Inner product space,فضای داخلی محصول,https://brilliant.org/wiki/inner-product-space
453,Dedekind cuts,ددکیند برش می دهد,https://brilliant.org/wiki/dedekind-cuts
454,Pappus centroid theorems,قضایای مرکز پاپوس,https://brilliant.org/wiki/pappus-centroid-theorems
455,Circles,حلقه ها,https://brilliant.org/wiki/circles
456,Can all local extrema be found by differentiating,آیا با تمایز می توان تمام اکسترم های محلی را یافت,https://brilliant.org/wiki/can-all-local-extrema-be-found-by-differentiating
457,Learn and practice geometry on brilliant,هندسه را در برلیانت بیاموزید و تمرین کنید,https://brilliant.org/wiki/learn-and-practice-geometry-on-brilliant
458,Maxwells equations,معادلات ماکسولز,https://brilliant.org/wiki/maxwells-equations
459,Sat geometry word problems,مشکلات کلمه هندسه نشست,https://brilliant.org/wiki/sat-geometry-word-problems
460,Integral approximation simpsons rule,قانون سیمپسون تقریب انتگرال,https://brilliant.org/wiki/integral-approximation-simpsons-rule
461,Graphing inequalities,نابرابری های نموداری,https://brilliant.org/wiki/graphing-inequalities
462,Differential equations eulers method small step,معادلات دیفرانسیل روش اویلر گام کوچک,https://brilliant.org/wiki/differential-equations-eulers-method-small-step
463,Recursion problem solving,حل مشکل بازگشتی,https://brilliant.org/wiki/recursion-problem-solving
464,Chinese remainder theorem,قضیه باقی مانده چینی,https://brilliant.org/wiki/chinese-remainder-theorem
465,Calculation division,تقسیم محاسباتی,https://brilliant.org/wiki/calculation-division
466,Componendo and dividendo,Componendo و Dividendo,https://brilliant.org/wiki/componendo-and-dividendo
467,Kruskals algorithm,الگوریتم کروسکالز,https://brilliant.org/wiki/kruskals-algorithm
468,Is i1,i1 است,https://brilliant.org/wiki/is-i1
469,Inverse transform sampling,نمونه برداری تبدیل معکوس,https://brilliant.org/wiki/inverse-transform-sampling
470,Graphing horizontal lines,ترسیم خطوط افقی,https://brilliant.org/wiki/graphing-horizontal-lines
471,Graph coloring and chromatic numbers,رنگ آمیزی نمودار و اعداد رنگی,https://brilliant.org/wiki/graph-coloring-and-chromatic-numbers
472,Yield curve,منحنی بازده,https://brilliant.org/wiki/yield-curve
473,Polar equations arc length,معادلات قطبی طول قوس,https://brilliant.org/wiki/polar-equations-arc-length
474,Observer based feedback with matlab,بازخورد مبتنی بر مشاهده با متلب,https://brilliant.org/wiki/observer-based-feedback-with-matlab
475,Surface area basic,سطح سطح پایه,https://brilliant.org/wiki/surface-area-basic
476,Chebyshev inequality,نابرابری چبیشف,https://brilliant.org/wiki/chebyshev-inequality
477,Traversals,پیمایش,https://brilliant.org/wiki/traversals
478,Exponential functions graphs easy,نمودار توابع نمایی آسان است,https://brilliant.org/wiki/exponential-functions-graphs-easy
479,Common types of organic reactions,انواع متداول واکنش های آلی,https://brilliant.org/wiki/common-types-of-organic-reactions
480,Radical equations,معادلات رادیکال,https://brilliant.org/wiki/radical-equations
481,Queues basic,صف های اولیه,https://brilliant.org/wiki/queues-basic
482,Subgroup,زیرگروه,https://brilliant.org/wiki/subgroup
483,Call and put spreads,تماس بگیرید و اسپرد قرار دهید,https://brilliant.org/wiki/call-and-put-spreads
484,Partial fractions limit method,روش حد کسری جزئی,https://brilliant.org/wiki/partial-fractions-limit-method
485,Differential equations dydx gy,معادلات دیفرانسیل dydx gy,https://brilliant.org/wiki/differential-equations-dydx-gy
486,Dots and boxes,نقطه و جعبه,https://brilliant.org/wiki/dots-and-boxes
487,Primitive roots,ریشه های بدوی,https://brilliant.org/wiki/primitive-roots
488,Parametric equations velocity and acceleration,معادلات پارامتری سرعت و شتاب,https://brilliant.org/wiki/parametric-equations-velocity-and-acceleration
489,Topology,توپولوژی,https://brilliant.org/wiki/topology
490,Is split division,تقسیم تقسیم است,https://brilliant.org/wiki/is-split-division
491,Conservative nature electric fields,میدان های الکتریکی طبیعت محافظه کارانه,https://brilliant.org/wiki/conservative-nature-electric-fields
492,Velocity and acceleration problem solving easy,حل مشکل سرعت و شتاب آسان است,https://brilliant.org/wiki/velocity-and-acceleration-problem-solving-easy
493,Probability rule of product,قانون احتمال محصول,https://brilliant.org/wiki/probability-rule-of-product
494,Capacitors series parallel,سری خازن ها موازی,https://brilliant.org/wiki/capacitors-series-parallel
495,Quantum harmonic oscillator,نوسان ساز هارمونیک کوانتومی,https://brilliant.org/wiki/quantum-harmonic-oscillator
496,Vertex cover,پوشش راس,https://brilliant.org/wiki/vertex-cover
497,Reverse transcription,رونویسی معکوس,https://brilliant.org/wiki/reverse-transcription
498,Minimax,Minimax,https://brilliant.org/wiki/minimax
499,Data mode,حالت داده,https://brilliant.org/wiki/data-mode
500,Thales theorem,قضیه تالس,https://brilliant.org/wiki/thales-theorem
501,Power mean qagh,قدرت یعنی قاق,https://brilliant.org/wiki/power-mean-qagh
502,Is a perfect transparent material black,یک ماده شفاف کامل سیاه و سفید است,https://brilliant.org/wiki/is-a-perfect-transparent-material-black
503,Ordinal numbers,اعداد ترتیبی,https://brilliant.org/wiki/ordinal-numbers
504,Application of derivatives,کاربرد مشتقات,https://brilliant.org/wiki/application-of-derivatives
505,De moivres theorem,قضیه De moivres,https://brilliant.org/wiki/de-moivres-theorem
506,Coordinate geometry angle bisector,نیمساز زاویه هندسه مختصات,https://brilliant.org/wiki/coordinate-geometry-angle-bisector
507,Symmetric polynomials definition,تعریف چند جمله ای متقارن,https://brilliant.org/wiki/symmetric-polynomials-definition
508,Hilbert space,فضای هیلبرت,https://brilliant.org/wiki/hilbert-space
509,Hensels lemma,لم هنسل,https://brilliant.org/wiki/hensels-lemma
510,Vigenere cipher,رمز ویژنر,https://brilliant.org/wiki/vigenere-cipher
511,Merkle tree,درخت مرکل,https://brilliant.org/wiki/merkle-tree
512,Real number line,خط اعداد واقعی,https://brilliant.org/wiki/real-number-line
513,Call and put options,تماس بگیرید و گزینه ها را قرار دهید,https://brilliant.org/wiki/call-and-put-options
514,Schrodingers cat,گربه شرودینگر,https://brilliant.org/wiki/schrodingers-cat
515,Ceiling function,عملکرد سقف,https://brilliant.org/wiki/ceiling-function
516,Newtons second law for composit systems,قانون دوم نیوتن برای سیستم های ترکیبی,https://brilliant.org/wiki/newtons-second-law-for-composit-systems
517,Wavy curve method,روش منحنی موجی,https://brilliant.org/wiki/wavy-curve-method
518,Volume cone,مخروط حجمی,https://brilliant.org/wiki/volume-cone
519,For,برای,https://brilliant.org/wiki/for
520,Sat numbers,اعداد نشست,https://brilliant.org/wiki/sat-numbers
521,Surface tension,کشش سطحی,https://brilliant.org/wiki/surface-tension
522,Edge cover,پوشش لبه,https://brilliant.org/wiki/edge-cover
523,Singular value decomposition,تجزیه مقدار منفرد,https://brilliant.org/wiki/singular-value-decomposition
524,Four color theorem,قضیه چهار رنگ,https://brilliant.org/wiki/four-color-theorem
525,Math history,تاریخ ریاضی,https://brilliant.org/wiki/math-history
526,Black hole,سیاه چاله,https://brilliant.org/wiki/black-hole
527,Tetration,تتراسیون,https://brilliant.org/wiki/tetration
528,Parallel lines,خطوط موازی,https://brilliant.org/wiki/parallel-lines
529,Ratio and proportion,نسبت و نسبت,https://brilliant.org/wiki/ratio-and-proportion
530,Entropy,آنتروپی,https://brilliant.org/wiki/entropy
531,Feedback,بازخورد,https://brilliant.org/wiki/feedback
532,Derivative by first principle,مشتق بر اصل اول,https://brilliant.org/wiki/derivative-by-first-principle
533,Inequalities with strange equality conditions,نابرابری با شرایط برابری عجیب,https://brilliant.org/wiki/inequalities-with-strange-equality-conditions
534,Power of a point,قدرت یک نقطه,https://brilliant.org/wiki/power-of-a-point
535,Continued fractions,کسرهای ادامه دار,https://brilliant.org/wiki/continued-fractions
536,Bipolar junction transistors,ترانزیستورهای پیوند دوقطبی,https://brilliant.org/wiki/bipolar-junction-transistors
537,Radical axis of 2 circles,محور رادیکال 2 دایره,https://brilliant.org/wiki/radical-axis-of-2-circles
538,Euclidean geometry triangles problem solving,حل مسئله مثلث هندسه اقلیدسی,https://brilliant.org/wiki/euclidean-geometry-triangles-problem-solving
539,Mind reading,ذهن خوانی,https://brilliant.org/wiki/mind-reading
540,Cube root,ریشه مکعب,https://brilliant.org/wiki/cube-root
541,Calculus complexities intermediate,پیچیدگی حساب دیفرانسیل و انتگرال متوسط,https://brilliant.org/wiki/calculus-complexities-intermediate
542,Finding missing values in ratios,یافتن مقادیر گمشده در نسبت ها,https://brilliant.org/wiki/finding-missing-values-in-ratios
543,Arithmetic function,تابع حسابی,https://brilliant.org/wiki/arithmetic-function
544,Row and column spaces,فاصله ردیف و ستون,https://brilliant.org/wiki/row-and-column-spaces
545,Error correcting codes,خطا در تصحیح کدها,https://brilliant.org/wiki/error-correcting-codes
546,Is 0 even,0 زوج است,https://brilliant.org/wiki/is-0-even
547,Binomial distribution,توزیع دو جمله ای,https://brilliant.org/wiki/binomial-distribution
548,Forward backwards induction,القای رو به عقب,https://brilliant.org/wiki/forward-backwards-induction
549,Calculation subtraction,محاسبه تفریق,https://brilliant.org/wiki/calculation-subtraction
550,Understanding basic traveling waves,درک امواج اولیه سفر,https://brilliant.org/wiki/understanding-basic-traveling-waves
551,A star search,جستجوی ستاره,https://brilliant.org/wiki/a-star-search
552,Integration by parts,یکپارچه سازی توسط قطعات,https://brilliant.org/wiki/integration-by-parts
553,Boolean algebra,جبر بولی,https://brilliant.org/wiki/boolean-algebra
554,Compression,فشرده سازی,https://brilliant.org/wiki/compression
555,Mole,خال,https://brilliant.org/wiki/mole
556,Interval notation,نماد فاصله,https://brilliant.org/wiki/interval-notation
557,Star,ستاره,https://brilliant.org/wiki/star
558,Alternate segment theorem 2,قضیه قطعه متناوب 2,https://brilliant.org/wiki/alternate-segment-theorem-2
559,Closed sets,مجموعه های بسته,https://brilliant.org/wiki/closed-sets
560,Electrolytic cells and electrolysis,سلول های الکترولیتی و الکترولیز,https://brilliant.org/wiki/electrolytic-cells-and-electrolysis
561,Mathematical logic and computability iii chapter 2,منطق ریاضی و محاسبات 3 فصل 2,https://brilliant.org/wiki/mathematical-logic-and-computability-iii-chapter-2
562,Fractional part function,تابع قسمت کسری,https://brilliant.org/wiki/fractional-part-function
563,Converting repeating decimals into fractions,تبدیل اعشار تکراری به کسر,https://brilliant.org/wiki/converting-repeating-decimals-into-fractions
564,Eulers totient function,تابع اویلر,https://brilliant.org/wiki/eulers-totient-function
565,Basic shapes polygons and trigonometery,اشکال اساسی چند ضلعی و مثلثات,https://brilliant.org/wiki/basic-shapes-polygons-and-trigonometery
566,Pattern recognition identifying relationships 2,شناسایی الگوی روابط 2,https://brilliant.org/wiki/pattern-recognition-identifying-relationships-2
567,Economics,اقتصاد,https://brilliant.org/wiki/economics
568,Relations,روابط,https://brilliant.org/wiki/relations
569,Is 1 prime,عدد اول است,https://brilliant.org/wiki/is-1-prime
570,Related rates of change,نرخ های تغییر مرتبط,https://brilliant.org/wiki/related-rates-of-change
571,3d coordinate geometry equation of a plane,معادله هندسه مختصات سه بعدی یک هواپیما,https://brilliant.org/wiki/3d-coordinate-geometry-equation-of-a-plane
572,Geometric distribution,توزیع هندسی,https://brilliant.org/wiki/geometric-distribution
573,Very small numbers,اعداد خیلی کم,https://brilliant.org/wiki/very-small-numbers
574,Charge and electric fields,میدان های شارژ و الکتریکی,https://brilliant.org/wiki/charge-and-electric-fields
575,Inscribed squares,مربع های کتیبه ای,https://brilliant.org/wiki/inscribed-squares
576,Ham sandwich theorem,قضیه ساندویچ ژامبون,https://brilliant.org/wiki/ham-sandwich-theorem
577,Gauss law,قانون گاوس,https://brilliant.org/wiki/gauss-law
578,Finding domain and range,یافتن دامنه و محدوده,https://brilliant.org/wiki/finding-domain-and-range
579,Percentages fractions,درصد کسری,https://brilliant.org/wiki/percentages-fractions
580,Gravitation,جاذبه,https://brilliant.org/wiki/gravitation
581,Perfect squares,مربع های عالی,https://brilliant.org/wiki/perfect-squares
582,Orbitals and quantam numbers,اوربیتال ها و اعداد کوانتامی,https://brilliant.org/wiki/orbitals-and-quantam-numbers
583,Arithmetic mean,میانگین حسابی,https://brilliant.org/wiki/arithmetic-mean
584,Integration of radical functions,ادغام توابع رادیکال,https://brilliant.org/wiki/integration-of-radical-functions
585,Number base,پایه اعداد,https://brilliant.org/wiki/number-base
586,Conjugacy classes,کلاس های مزدوج,https://brilliant.org/wiki/conjugacy-classes
587,Calculus complexities basic,پیچیدگی های حساب دیفرانسیل و انتگرال,https://brilliant.org/wiki/calculus-complexities-basic
588,Polynomial end behavior,رفتار انتهایی چند جمله ای,https://brilliant.org/wiki/polynomial-end-behavior
589,Grids,شبکه ها,https://brilliant.org/wiki/grids
590,Solving identity equations,حل معادلات هویت,https://brilliant.org/wiki/solving-identity-equations
591,Zeroth law thermodynamics,ترمودینامیک قانون صفر,https://brilliant.org/wiki/zeroth-law-thermodynamics
592,Identifying patterns,شناسایی الگوها,https://brilliant.org/wiki/identifying-patterns
593,Sudoku,سودوکو,https://brilliant.org/wiki/sudoku
594,K means clustering,K به معنای خوشه بندی است,https://brilliant.org/wiki/k-means-clustering
595,Egyptian fractions,کسری مصری,https://brilliant.org/wiki/egyptian-fractions
596,Pythagorean triples,سه گانه فیثاغورثی,https://brilliant.org/wiki/pythagorean-triples
597,Symmetry in trigonometric graphs,تقارن در نمودارهای مثلثاتی,https://brilliant.org/wiki/symmetry-in-trigonometric-graphs
598,Properties of trapezoids us trapeziums uk,خواص ذوزنقه us trapeziums uk,https://brilliant.org/wiki/properties-of-trapezoids-us-trapeziums-uk
599,Banach tarski paradox,پارادوکس باناخ تارسکی,https://brilliant.org/wiki/banach-tarski-paradox
600,Decimals,اعداد اعشاری,https://brilliant.org/wiki/decimals
601,Jee complex numbers,اعداد مختلط جی,https://brilliant.org/wiki/jee-complex-numbers
602,Generating functions solving recurrence relations,ایجاد توابع حل کننده روابط عود,https://brilliant.org/wiki/generating-functions-solving-recurrence-relations
603,Cardano method,روش کاردانو,https://brilliant.org/wiki/cardano-method
604,Golden ratio,نسبت طلایی,https://brilliant.org/wiki/golden-ratio
605,Vector decomposition,تجزیه برداری,https://brilliant.org/wiki/vector-decomposition
606,3d coordinate geometry distance,فاصله هندسه مختصات سه بعدی,https://brilliant.org/wiki/3d-coordinate-geometry-distance
607,Pythagorean theorem,قضیه فیثاغورس,https://brilliant.org/wiki/pythagorean-theorem
608,Geometrical optics,اپتیک هندسی,https://brilliant.org/wiki/geometrical-optics
609,Jee quadratic equations advanced conceptual unders,معادلات درجه دوم جی زیر مفهومی پیشرفته,https://brilliant.org/wiki/jee-quadratic-equations-advanced-conceptual-unders
610,Sat student produced response,نشست دانشجویی پاسخ تولید کرد,https://brilliant.org/wiki/sat-student-produced-response
611,General polygons problem solving,حل مسئله چند ضلعی های عمومی,https://brilliant.org/wiki/general-polygons-problem-solving
612,Algebra two,جبر دو,https://brilliant.org/wiki/algebra-two
613,Floor function,عملکرد کف,https://brilliant.org/wiki/floor-function
614,Si length,طول سی,https://brilliant.org/wiki/si-length
615,Integer equations star and bars,معادلات عدد صحیح ستاره و میله,https://brilliant.org/wiki/integer-equations-star-and-bars
616,System of linear diophantine equations,سیستم معادلات دیوفانتین خطی,https://brilliant.org/wiki/system-of-linear-diophantine-equations
617,Problem solving 1d,حل مسئله 1d,https://brilliant.org/wiki/problem-solving-1d
618,Power series,سری پاور,https://brilliant.org/wiki/power-series
619,Weathering,هوازدگی,https://brilliant.org/wiki/weathering
620,Ring theory,تئوری حلقه,https://brilliant.org/wiki/ring-theory
621,Classes oop,کلاس ها اوه,https://brilliant.org/wiki/classes-oop
622,Quantum mechanical model,مدل مکانیکی کوانتومی,https://brilliant.org/wiki/quantum-mechanical-model
623,Arithmetic and geometric progressions problem,مسئله پیشرفت های حسابی و هندسی,https://brilliant.org/wiki/arithmetic-and-geometric-progressions-problem
624,The m2s3 game,بازی m2s3,https://brilliant.org/wiki/the-m2s3-game
625,3d coordinate geometry perpendicular planes,هندسه مختصات سه بعدی صفحات عمود بر هم,https://brilliant.org/wiki/3d-coordinate-geometry-perpendicular-planes
626,Conic sections,مقاطع مخروطی,https://brilliant.org/wiki/conic-sections
627,Truth tables,جداول حقیقت,https://brilliant.org/wiki/truth-tables
628,Study for the amc8 and mathcounts competitions,برای مسابقات amc8 و ریاضیات مطالعه کنید,https://brilliant.org/wiki/study-for-the-amc8-and-mathcounts-competitions
629,If the derivative of fx is fx is it true that int,اگر مشتق fx fx باشد درست است که int,https://brilliant.org/wiki/if-the-derivative-of-fx-is-fx-is-it-true-that-int
630,Phasor diagrams,نمودارهای فازور,https://brilliant.org/wiki/phasor-diagrams
631,Pushdown automata,خودکار فشاری,https://brilliant.org/wiki/pushdown-automata
632,Frequency response,پاسخ فرکانس,https://brilliant.org/wiki/frequency-response
633,Reference angle,زاویه مرجع,https://brilliant.org/wiki/reference-angle
634,Try it at home chemistry experiments,آن را در آزمایشات شیمی خانگی امتحان کنید,https://brilliant.org/wiki/try-it-at-home-chemistry-experiments
635,Converting units,تبدیل واحدها,https://brilliant.org/wiki/converting-units
636,Taylor series error bounds,محدوده خطای سری تیلور,https://brilliant.org/wiki/taylor-series-error-bounds
637,Algebraic manipulation,دستکاری جبری,https://brilliant.org/wiki/algebraic-manipulation
638,Grahams number,عدد گراهامز,https://brilliant.org/wiki/grahams-number
639,Is abcabc,abcabc است,https://brilliant.org/wiki/is-abcabc
640,Methods oop,روش ها اوه,https://brilliant.org/wiki/methods-oop
641,Put call parity,برابری تماس را قرار دهید,https://brilliant.org/wiki/put-call-parity
642,Convex hull,بدنه محدب,https://brilliant.org/wiki/convex-hull
643,Identical objects into identical bins,اشیاء یکسان در سطل های یکسان,https://brilliant.org/wiki/identical-objects-into-identical-bins
644,Law of iterated expectation,قانون انتظارات تکراری,https://brilliant.org/wiki/law-of-iterated-expectation
645,Heisenberg uncertainty principle,اصل عدم قطعیت هایزنبرگ,https://brilliant.org/wiki/heisenberg-uncertainty-principle
646,Bernoullis equation,معادله برنولی,https://brilliant.org/wiki/bernoullis-equation
647,Construction,ساخت و ساز,https://brilliant.org/wiki/construction
648,Predicting system behavior,پیش بینی رفتار سیستم,https://brilliant.org/wiki/predicting-system-behavior
649,Induction,القاء,https://brilliant.org/wiki/induction
650,Trigonometric table multiples of 3 degrees mostly,مضرب جدول مثلثاتی اکثراً 3 درجه,https://brilliant.org/wiki/trigonometric-table-multiples-of-3-degrees-mostly
651,Integration techniques,تکنیک های یکپارچه سازی,https://brilliant.org/wiki/integration-techniques
652,Mathematics of music,ریاضیات موسیقی,https://brilliant.org/wiki/mathematics-of-music
653,Applications of percentages,کاربرد درصدها,https://brilliant.org/wiki/applications-of-percentages
654,Geometric mean,میانگین هندسی,https://brilliant.org/wiki/geometric-mean
655,Sat mean median and mode,Sat به معنای میانه و حالت است,https://brilliant.org/wiki/sat-mean-median-and-mode
656,Public key cryptography,رمزنگاری کلید عمومی,https://brilliant.org/wiki/public-key-cryptography
657,Convert cartesian coordinates to polar,مختصات دکارتی را به قطبی تبدیل کنید,https://brilliant.org/wiki/convert-cartesian-coordinates-to-polar
658,Pattern recognition what comes next,تشخیص الگوی بعدی,https://brilliant.org/wiki/pattern-recognition-what-comes-next
659,Eddy current,جریان گردابی,https://brilliant.org/wiki/eddy-current
660,More the power of a machine more the work it can,قدرت بیشتر یک ماشین کار بیشتری می تواند انجام دهد,https://brilliant.org/wiki/more-the-power-of-a-machine-more-the-work-it-can
661,Volume cuboid,مکعب حجمی,https://brilliant.org/wiki/volume-cuboid
662,Iupac nomenclature branched chain alkanes cyclic,نامگذاری Iupac آلکان های زنجیره ای منشعب حلقوی,https://brilliant.org/wiki/iupac-nomenclature-branched-chain-alkanes-cyclic
663,Continuous random variables cumulative,متغیرهای تصادفی پیوسته تجمعی,https://brilliant.org/wiki/continuous-random-variables-cumulative
664,Invariant principle definition,تعریف اصل ثابت,https://brilliant.org/wiki/invariant-principle-definition
665,Improper integrals,انتگرال های نامناسب,https://brilliant.org/wiki/improper-integrals
666,Eulers formula,فرمول اویلر,https://brilliant.org/wiki/eulers-formula
667,Hookes law,قانون هوکس,https://brilliant.org/wiki/hookes-law
668,Zfc,Zfc,https://brilliant.org/wiki/zfc
669,Finite state machines,ماشین های حالت محدود,https://brilliant.org/wiki/finite-state-machines
670,Exponential inequalities,نابرابری های نمایی,https://brilliant.org/wiki/exponential-inequalities
671,Mathemathical logic and computability ii,منطق ریاضی و محاسبه پذیری ii,https://brilliant.org/wiki/mathemathical-logic-and-computability-ii
672,Rmo math contest preparation,آماده سازی مسابقه ریاضی Rmo,https://brilliant.org/wiki/rmo-math-contest-preparation
673,Permutations with repetition,جایگشت با تکرار,https://brilliant.org/wiki/permutations-with-repetition
674,Chi squared test,تست مجذور کای,https://brilliant.org/wiki/chi-squared-test
675,Viral replication,تکثیر ویروسی,https://brilliant.org/wiki/viral-replication
676,Lhopitals rule,Lhopitals حکومت می کند,https://brilliant.org/wiki/lhopitals-rule
677,Rc circuits dc,مدارهای Rc dc,https://brilliant.org/wiki/rc-circuits-dc
678,Systems of inequalities,سیستم های نابرابری,https://brilliant.org/wiki/systems-of-inequalities
679,Pattern recognition specific term 2,اصطلاح خاص تشخیص الگو 2,https://brilliant.org/wiki/pattern-recognition-specific-term-2
680,Conservation laws,قوانین حفاظت,https://brilliant.org/wiki/conservation-laws
681,Klein bottle,بطری کلاین,https://brilliant.org/wiki/klein-bottle
682,Measure and measure spaces,اندازه گیری و اندازه گیری فضاها,https://brilliant.org/wiki/measure-and-measure-spaces
683,Capacitors,خازن ها,https://brilliant.org/wiki/capacitors
684,Order of chemical reactions,ترتیب واکنش های شیمیایی,https://brilliant.org/wiki/order-of-chemical-reactions
685,Nested functions,توابع تو در تو,https://brilliant.org/wiki/nested-functions
686,Torque equilibrium,تعادل گشتاور,https://brilliant.org/wiki/torque-equilibrium
687,Graphs,نمودارها,https://brilliant.org/wiki/graphs
688,Structural representations of organic compounds,نمایش ساختاری ترکیبات آلی,https://brilliant.org/wiki/structural-representations-of-organic-compounds
689,Filter,فیلتر کنید,https://brilliant.org/wiki/filter
690,General diophantine equations modular arithmetic,معادلات دیوفانتین عمومی محاسبات مدولار,https://brilliant.org/wiki/general-diophantine-equations-modular-arithmetic
691,Collaborative filtering,فیلتر مشارکتی,https://brilliant.org/wiki/collaborative-filtering
692,Braess paradox,پارادوکس بریس,https://brilliant.org/wiki/braess-paradox
693,Rationalize denominators,مخرج ها را منطقی کنید,https://brilliant.org/wiki/rationalize-denominators
694,Circular motion dynamics,دینامیک حرکت دایره ای,https://brilliant.org/wiki/circular-motion-dynamics
695,Multiplication_of_velocity_vectors_scalar,ضرب_سرعت_بردارها_اسکالر,https://brilliant.org/wiki/multiplication_of_velocity_vectors_scalar
696,Berksons paradox,پارادوکس برکسون,https://brilliant.org/wiki/berksons-paradox
697,Snells law,قانون اسنلز,https://brilliant.org/wiki/snells-law
698,Red black tree,درخت سیاه قرمز,https://brilliant.org/wiki/red-black-tree
699,Fermats sum of two squares theorem,قضیه مجموع دو مربع فرما,https://brilliant.org/wiki/fermats-sum-of-two-squares-theorem
700,Apollonius theorem,قضیه آپولونیوس,https://brilliant.org/wiki/apollonius-theorem
701,General polygons angles,زوایای چند ضلعی های عمومی,https://brilliant.org/wiki/general-polygons-angles
702,Harmonic mean,میانگین هارمونیک,https://brilliant.org/wiki/harmonic-mean
703,Damped harmonic oscillators,نوسانگرهای هارمونیک میرایی,https://brilliant.org/wiki/damped-harmonic-oscillators
704,Pattern recognition general term,اصطلاح عمومی تشخیص الگو,https://brilliant.org/wiki/pattern-recognition-general-term
705,Alkanes alkenes alkynes,آلکان ها آلکن ها آلکین ها,https://brilliant.org/wiki/alkanes-alkenes-alkynes
706,Characteristic polynomial,چند جمله ای مشخصه,https://brilliant.org/wiki/characteristic-polynomial
707,Prime numbers,اعداد اول,https://brilliant.org/wiki/prime-numbers
708,Bijection injection and surjection,تزریق بیژکشن و تزریق,https://brilliant.org/wiki/bijection-injection-and-surjection
709,Identifying proportional relationships,شناسایی روابط متناسب,https://brilliant.org/wiki/identifying-proportional-relationships
710,Bearing word problems easy,تحمل مشکلات کلمه آسان است,https://brilliant.org/wiki/bearing-word-problems-easy
711,Differential equations modeling,مدل سازی معادلات دیفرانسیل,https://brilliant.org/wiki/differential-equations-modeling
712,Sat data analysis student produced response,تحليل داده هاي نشست دانشجويي پاسخ توليد كرد,https://brilliant.org/wiki/sat-data-analysis-student-produced-response
713,Mental math tricks,ترفندهای ریاضی ذهنی,https://brilliant.org/wiki/mental-math-tricks
714,Coordinate geometry identifying quadrants,هندسه مختصات شناسایی ربع,https://brilliant.org/wiki/coordinate-geometry-identifying-quadrants
715,Algebraic manipulation identities,هویت های دستکاری جبری,https://brilliant.org/wiki/algebraic-manipulation-identities
716,Order of operations,ترتیب عملیات ها,https://brilliant.org/wiki/order-of-operations
717,Inorganic chemistry,شیمی معدنی,https://brilliant.org/wiki/inorganic-chemistry
718,Recognizing trigonometric graphs,شناخت نمودارهای مثلثاتی,https://brilliant.org/wiki/recognizing-trigonometric-graphs
719,Genetic algorithms,الگوریتم های ژنتیک,https://brilliant.org/wiki/genetic-algorithms
720,Density,تراکم,https://brilliant.org/wiki/density
721,Lagrangian formulation of mechanics,فرمول لاگرانژی مکانیک,https://brilliant.org/wiki/lagrangian-formulation-of-mechanics
722,Prisoners dilemma,دوراهی زندانیان,https://brilliant.org/wiki/prisoners-dilemma
723,Palindromes,پالیندروم,https://brilliant.org/wiki/palindromes
724,Huffman encoding,رمزگذاری هافمن,https://brilliant.org/wiki/huffman-encoding
725,Ravi substitution,تعویض راوی,https://brilliant.org/wiki/ravi-substitution
726,Unit rate,نرخ واحد,https://brilliant.org/wiki/unit-rate
727,Congruent and similar triangles,مثلث های متجانس و مشابه,https://brilliant.org/wiki/congruent-and-similar-triangles
728,Sets union and intersection easy,اتحاد و تقاطع را آسان می کند,https://brilliant.org/wiki/sets-union-and-intersection-easy
729,Tangent line point,نقطه خط مماس,https://brilliant.org/wiki/tangent-line-point
730,Pareto efficiency,کارایی پارتو,https://brilliant.org/wiki/pareto-efficiency
731,Cardinality,قدرتمندی,https://brilliant.org/wiki/cardinality
732,Slope of a curve basic,شیب منحنی پایه,https://brilliant.org/wiki/slope-of-a-curve-basic
733,Archimedean property,دارایی ارشمیدسی,https://brilliant.org/wiki/archimedean-property
734,Object oriented programming,برنامه نویسی شی گرا,https://brilliant.org/wiki/object-oriented-programming
735,Multivariate normal distribution,توزیع نرمال چند متغیره,https://brilliant.org/wiki/multivariate-normal-distribution
736,Gamma function,تابع گاما,https://brilliant.org/wiki/gamma-function
737,Dot product direction cosines,کسینوس جهت محصول نقطه ای,https://brilliant.org/wiki/dot-product-direction-cosines
738,Interpret rates of change,تعبیر نرخ تغییر,https://brilliant.org/wiki/interpret-rates-of-change
739,Bloom filter,فیلتر شکوفه,https://brilliant.org/wiki/bloom-filter
740,De morgans laws,قوانین دی مورگانز,https://brilliant.org/wiki/de-morgans-laws
741,Square roots,ریشه های مربع,https://brilliant.org/wiki/square-roots
742,Propositional logic,منطق گزاره ای,https://brilliant.org/wiki/propositional-logic
743,Linear programming,برنامه ریزی خطی,https://brilliant.org/wiki/linear-programming
744,Sat functions perfect score,توابع شنبه نمره کامل,https://brilliant.org/wiki/sat-functions-perfect-score
745,Chemistry of diamonds,شیمی الماس,https://brilliant.org/wiki/chemistry-of-diamonds
746,Basic shapes polygons trigonometry,مثلثات چند ضلعی اشکال اساسی,https://brilliant.org/wiki/basic-shapes-polygons-trigonometry
747,Bijective functions,توابع دوطرفه,https://brilliant.org/wiki/bijective-functions
748,Trigonometric co function identities,هویت های هم تابع مثلثاتی,https://brilliant.org/wiki/trigonometric-co-function-identities
749,Chemical equilibrium,تعادل شیمیایی,https://brilliant.org/wiki/chemical-equilibrium
